%NL12, T=500, betaT=0.990000, w=4000, maxC=200, maxP=100, maxR=5
%time (s)	cost
1.375591e+000	153039
1.377002e+000	152714
2.803798e+000	150490
4.307221e+000	141353
7.365811e+000	140922
9.450000e+000	139652
9.460226e+000	139385
9.464064e+000	139197
9.533630e+000	139100
2.139543e+001	138240
2.202043e+001	136784
2.211985e+001	136312
2.213843e+001	136171
2.268219e+001	136089
2.268518e+001	135060
2.369277e+001	134815
2.385252e+001	134480
2.581925e+001	134368
2.582304e+001	133832
5.156685e+001	133714
5.173825e+001	133711
8.539379e+001	133337
8.540728e+001	133250
8.564115e+001	133158
8.570046e+001	132966
8.633870e+001	132957
8.795599e+001	132904
8.808286e+001	132711
1.059032e+002	132344
1.079510e+002	132263
1.079767e+002	132158
1.080107e+002	131653
1.084428e+002	131334
1.105609e+002	131142
1.107833e+002	130861
1.395396e+002	130846
1.396170e+002	130634
1.460866e+002	129829
1.462306e+002	129809
1.462705e+002	129649
1.466326e+002	129263
1.467320e+002	129158
1.468890e+002	128862
1.469307e+002	128804
1.470252e+002	128612
1.498355e+002	128417
1.498749e+002	127731
1.498812e+002	127723
1.571070e+002	127675
1.575607e+002	127645
1.580776e+002	127158
1.585068e+002	126460
1.586159e+002	126417
1.868141e+002	126162
1.868943e+002	126069
1.868969e+002	125949
2.318988e+002	125705
2.634235e+002	125650
2.688117e+002	125434
2.701715e+002	125256
2.702176e+002	125169
2.831358e+002	125167
2.858310e+002	124987
2.862211e+002	124891
2.862766e+002	124872
2.863425e+002	124566
2.864174e+002	124125
2.865074e+002	124029
2.924095e+002	123844
2.969427e+002	123319
2.973099e+002	123216
3.206301e+002	123028
3.207039e+002	123027
3.208534e+002	122996
3.208865e+002	122124
3.208889e+002	122112
3.209046e+002	122111
3.209408e+002	121544
3.210357e+002	121481
3.210527e+002	121265
3.410323e+002	121256
3.854173e+002	121189
5.439553e+002	121180
1.837463e+003	121115
1.875781e+003	121113
1.876529e+003	120786
1.881313e+003	120735
2.056673e+003	120648
2.056747e+003	120540
2.134328e+003	120443
2.134789e+003	120438
2.842125e+003	120090
2.849676e+003	120084



%NL6, T=500, betaT=0.990000, w=4000, maxC=200, maxP=100, maxR=5
%time (s)	cost
1.869600e-01	31856
1.947780e-01	30810
2.349950e-01	29607
2.560070e-01	28554
2.618320e-01	28314
3.512600e-01	28311
6.307170e-01	27550
9.169950e-01	27190
9.191490e-01	26946
9.208830e-01	26415
1.548833e+00	26169
2.371044e+00	25752
2.380658e+00	25742
2.856999e+00	25413
6.222246e+00	25089
1.426532e+01	25018
1.572180e+01	24812
1.573472e+01	24709
3.553235e+01	24702
5.497172e+01	24674
5.497411e+01	24601
5.499753e+01	24540
5.519907e+01	24467
6.812050e+01	24420
6.832235e+01	24360
6.834417e+01	24254
6.842621e+01	24064
6.861028e+01	24032



%NL6, T=500, betaT=0.990000, w=4000, maxC=200, maxP=100, maxR=5
%time (s)	cost
3.055152e-001	31856
3.101833e-001	30810
3.375523e-001	29607
3.691399e-001	28554
3.733479e-001	28314
4.697627e-001	28311
7.467831e-001	27550
1.036429e+000	27190
1.038279e+000	26946
1.039547e+000	26415
1.702823e+000	26169
2.591331e+000	25752
2.599124e+000	25742
3.099103e+000	25413
6.711035e+000	25089
1.542698e+001	25018
1.712187e+001	24812
1.713372e+001	24709
3.867325e+001	24702
5.943958e+001	24674
5.944229e+001	24601
5.947616e+001	24540
5.969486e+001	24467
7.373261e+001	24420
7.394460e+001	24360
7.396781e+001	24254
7.405684e+001	24064
7.426119e+001	24032
9.042414e+002	23978
9.054060e+002	23916
